destination_name,destination_url,book_title,book_author,first_publish_year
Albania,https://www.roughguides.com/albania/,Implementation of the Helsinki accords,United States. Congress. Commission on Security and Cooperation in Europe,1982
Albania,https://www.roughguides.com/albania/,Travel Journal,Travel Diary,2013
Argentina,https://www.roughguides.com/argentina/,El túnel,Ernesto Sabato,1948
Argentina,https://www.roughguides.com/argentina/,Eva Luna,Isabel Allende,1987
Australia,https://www.roughguides.com/australia/,The Book Thief,Markus Zusak,1998
Australia,https://www.roughguides.com/australia/,On The Beach,"Nevil Shute, Gideon Haigh, G. C. Thornley, SparkNotes Staff, SparkNotes",1957
Austria,https://www.roughguides.com/austria/,... Trotzdem Ja zum Leben sagen,Viktor E. Frankl,1946
Austria,https://www.roughguides.com/austria/,Carmilla,Joseph Sheridan Le Fanu,1871
Belgium,https://www.roughguides.com/belgium/,After the Funeral,Agatha Christie,1953
Belgium,https://www.roughguides.com/belgium/,Curtain,Agatha Christie,1975
Belize,https://www.roughguides.com/belize/,[13] chapters of a history of Belize,Assad Shoman,1994
Belize,https://www.roughguides.com/belize/,London Gazette,Rand McNally,1980
Bhutan,https://www.roughguides.com/bhutan/,Bhutan,Françoise Pommaret,1984
Bhutan,https://www.roughguides.com/bhutan/,The History of Bhutan,Karma Phuntsho,2013
Bolivia,https://www.roughguides.com/bolivia/,The Jungle,Upton Sinclair,1905
Bolivia,https://www.roughguides.com/bolivia/,Pakistan,United States,1965
Bosnia-Herzegovina,https://www.roughguides.com/bosnia-herzegovina/,Bosnia--Herzegovina,Gojko Jokić,1969
Bosnia-Herzegovina,https://www.roughguides.com/bosnia-herzegovina/,Bosnia Herzegovina,Mohamad Rashidi Hassan.,1992
Brazil,https://www.roughguides.com/brazil/,Memórias póstumas de Brás Cubas,Machado de Assis,1900
Brazil,https://www.roughguides.com/brazil/,The Alchemist,Paulo Coelho,1988
Bulgaria,https://www.roughguides.com/bulgaria/,Kids Travel Journal,Bluebird Books,2013
Bulgaria,https://www.roughguides.com/bulgaria/,Arms and the Man,George Bernard Shaw,1898
Cambodia,https://www.roughguides.com/cambodia/,First They Killed My Father,Loung Ung,2000
Cambodia,https://www.roughguides.com/cambodia/,Pakistan,United States,1965
Canada,https://www.roughguides.com/canada/,Black Beauty,Anna Sewell,1877
Canada,https://www.roughguides.com/canada/,It Can't Happen Here,Sinclair Lewis,1935
